target,GT-Start_Time,GT-End_Time,AN-Start_Time,AN-End_Time,Overlap
sausage,498.24,498.99,498.24,498.99,1.0
spaghetti,503.91,504.72,503.91,504.72,1.0
vanilla,508.49,509.24,508.49,509.24,1.0
cart,514.1,514.76,514.1,514.76,1.0
tail,517.97,518.51,517.97,518.51,1.0
pull,524.074138,524.506747,524.0004200972114,524.5490032895891,0.7885932453107778
detective,529.1,530.03,529.1,530.03,1.0
magician,537.78,538.53,537.78,538.53,1.0
breathe,542.87,543.62,542.87,543.62,1.0
garage,550.24,551.14,550.24,551.14,1.0
light,557.94,558.612577,557.94,558.6,0.9813002823469045
thermometer,591.04,591.93,591.04,591.93,1.0
hole,595.29,595.89,595.29,595.89,1.0
sprout,603.88,604.710931,603.88,604.69,0.9748101827950746
hill,607.69,608.62,607.69,608.1490018198748,0.4935503439513631
smile,612.92,613.64,612.92,613.64,1.0
splash,617.78,618.53,617.78,618.53,1.0
wood,623.24,623.69,623.24,623.6645325667771,0.9434057039489903
binoculars,630.32,631.46,630.32,631.46,1.0
Australia,634.61,635.45,634.61,635.45,1.0
one,642.2,643.13,642.5918040037244,643.1551184828253,0.5634861076958804
two,643.13,643.55,643.1551184828253,643.55,0.9401940885112043
three,643.55,644.03,643.55,644.03,1.0
four,644.03,644.6,644.03,644.6,1.0
five,644.6,645.169323,644.6,645.11,0.8958008020052666
six,645.169323,645.65,645.11,645.65,0.8901425925926789
seven,645.65,646.07,645.65,646.07,1.0
eight,646.1,646.46,646.1,646.46,1.0
nine,646.49,646.97,646.49,646.97,1.0
ten,646.97,647.51,646.97,647.51,1.0
one_cup,656.09,656.96,656.09,656.9392404135679,0.9761384063997961
one_cup,660.076211,660.9,660.0828130088183,660.9,0.991985801196192
two_cups,663.91,664.87,663.91,664.87,1.0
three_cups,667.62,668.61,667.62,668.61,1.0
four_cups,671.17,672.17,671.17,672.17,1.0
one_egg,675.18,676.35,675.4859736167607,676.35,0.7384840882386893
two_eggs,679.53,680.49,679.53,680.49,1.0
three_eggs,683.27,684.2,683.27,684.2,1.0
four_eggs,686.72,687.74,686.72,687.74,1.0
one_o_clock,690.738797,691.54,690.697848731816,691.54,0.9513765878755677
two_o_clock,694.41,695.28,694.41,695.28,1.0
three_o_clock,698.23,699.1,698.23,699.1,1.0
four_o_clock,702.009031,702.991181,701.9995995929797,703.0450484093901,0.9394529742471829
